deal id,seller id,seller,brand,category,product name,stock,sell price,discount value,discounted price,discount_ratio
13151785,140453,더베이스_Q,OFF WHITE,지갑,오프화이트 지갑 OWNC055F22LEA0010184,2,647000.00,125000.000,522000.000,0.1932
13151733,140453,더베이스_Q,OFF WHITE,지갑,오프화이트 지갑 OWNC055F22LEA0011084,1,647000.00,125000.000,522000.000,0.1932
13152072,139812,더베이스_R,OFF WHITE,캐주얼 바지,오프화이트 캐주얼 바지 OWCH016C99JER001 1001,3,1169000.00,492000.000,677000.000,0.4209
13152082,139812,더베이스_R,OFF WHITE,코트,오프화이트 코트 OMER071F22FAB001 1001,1,4179000.00,2097000.000,2082000.000,0.5018
13144796,136979,더베이스_P,OFF WHITE,코트,오프화이트 코트 OMEA346F22FAB0016100,1,3632000.00,1962000.000,1670000.000,0.5402
13152156,139812,더베이스_R,OFF WHITE,티셔츠,오프화이트 티셔츠 OMBB085F22FLE010 0701,3,1736000.00,776000.000,960000.000,0.4470
13150768,140453,더베이스_Q,OFF WHITE,티셔츠,오프화이트 티셔츠 OMAA038F22JER0081050,3,819000.00,76000.000,743000.000,0.0928
13145821,218031,더베이스_W,OFF WHITE,티셔츠,오프화이트 티셔츠 OMAA027C99JER0091001,4,513000.00,47000.000,466000.000,0.0916
13145270,136979,더베이스_P,OFF WHITE,티셔츠,오프화이트 티셔츠 OWAA081F22JER0035636,1,880000.00,431000.000,449000.000,0.4898
13152149,139812,더베이스_R,OFF WHITE,팬츠,오프화이트 팬츠 OMCF032F22FAB001 0701,1,1358000.00,602000.000,756000.000,0.4433
13151947,140453,더베이스_Q,OFF WHITE,팬츠,오프화이트 팬츠 OWCH016F22JER0016004,2,875000.00,215000.000,660000.000,0.2457
13145819,218031,더베이스_W,OFF WHITE,팬츠,오프화이트 팬츠 OMCA196C99FAB0011000,3,1096000.00,105000.000,991000.000,0.0958
13145264,136979,더베이스_P,OFF WHITE,팬츠,오프화이트 팬츠 OWCA164F22FAB0031000,2,1918000.00,967000.000,951000.000,0.5042
13144846,136979,더베이스_P,OFF WHITE,팬츠,오프화이트 팬츠 OMCF032F22FAB0010701,3,1383000.00,691000.000,692000.000,0.4996
13144841,136979,더베이스_P,OFF WHITE,팬츠,오프화이트 팬츠 OMCA247F22FAB0016201,3,1213000.00,603000.000,610000.000,0.4971
13144816,136979,더베이스_P,OFF WHITE,팬츠,오프화이트 팬츠 OMCH044F22FLE0021001,3,1194000.00,593000.000,601000.000,0.4966
13144812,136979,더베이스_P,OFF WHITE,팬츠,오프화이트 팬츠 OMYA162F22DEN0014500,2,1383000.00,691000.000,692000.000,0.4996
13144783,136979,더베이스_P,OFF WHITE,팬츠,오프화이트 팬츠 OMCA196C99FAB0011000,2,1610000.00,807000.000,803000.000,0.5012
13145283,136979,더베이스_P,OFF WHITE,헤어 액세서리,오프화이트 헤어 액세서리 OWLA022F22KNI0013710,3,450000.00,193000.000,257000.000,0.4289
13145278,136979,더베이스_P,OFF WHITE,헤어 액세서리,오프화이트 헤어 액세서리 OWLA022F22KNI0015110,3,450000.00,193000.000,257000.000,0.4289
13145269,136979,더베이스_P,OFF WHITE,헤어 액세서리,오프화이트 헤어 액세서리 OWLA022F22KNI0011001,3,450000.00,193000.000,257000.000,0.4289
13151781,140453,더베이스_Q,OFF WHITE,후드 & 스웻셔츠,오프화이트 후드 & 스웻셔츠 OWBB050F22JER0016004,2,944000.00,231000.000,713000.000,0.2447
13145817,218031,더베이스_W,OFF WHITE,후드 & 스웻셔츠,오프화이트 후드 & 스웻셔츠 OMHA155F22KNI0010610,2,1260000.00,122000.000,1138000.000,0.0968
13144836,136979,더베이스_P,OFF WHITE,후드 & 스웻셔츠,오프화이트 후드 & 스웻셔츠 OMBB037F22FLE0051001,5,1252000.00,623000.000,629000.000,0.4976
13144823,136979,더베이스_P,OFF WHITE,후드 & 스웻셔츠,오프화이트 후드 & 스웻셔츠 OMBB037F22FLE0061001,6,1252000.00,623000.000,629000.000,0.4976
13164864,140453,더베이스_Q,OLIVER PEOPLES,기타,올리버피플스 액세서리 0OV51831011,1,515000.00,69000.000,446000.000,0.1340
13144256,140453,더베이스_Q,OLIVER PEOPLES,기타,올리버피플스 액세서리 0OV51861011,1,422000.00,55000.000,367000.000,0.1303
13144253,140453,더베이스_Q,OLIVER PEOPLES,기타,올리버피플스 액세서리 0OV51861003,1,422000.00,55000.000,367000.000,0.1303
13144255,140453,더베이스_Q,OLIVER PEOPLES,선글라스,올리버피플스 선글라스 0OV5183S166952,1,505000.00,68000.000,437000.000,0.1347
13144254,140453,더베이스_Q,OLIVER PEOPLES,선글라스,올리버피플스 선글라스 0OV5219S1005R8,1,485000.00,64000.000,421000.000,0.1320
13144252,140453,더베이스_Q,OLIVER PEOPLES,선글라스,올리버피플스 선글라스 0OV5183S109452,1,567000.00,77000.000,490000.000,0.1358
13144251,140453,더베이스_Q,OLIVER PEOPLES,선글라스,올리버피플스 선글라스 0OV5413SU1679P1,2,567000.00,77000.000,490000.000,0.1358
13144250,140453,더베이스_Q,OLIVER PEOPLES,선글라스,올리버피플스 선글라스 0OV5217S1483R8,2,485000.00,64000.000,421000.000,0.1320
13144249,140453,더베이스_Q,OLIVER PEOPLES,선글라스,올리버피플스 선글라스 0OV5217S1101R8,2,485000.00,64000.000,421000.000,0.1320
13147788,333703,더베이스_AH,OPENING CEREMONY,트레이닝 웨어,오프닝세레모니 트레이닝 웨어 YWHE020F22KNI0010505,3,550000.00,120000.000,430000.000,0.2182
13145273,136979,더베이스_P,ORCIANI,백팩 & 벨트백,ORCIANI 백팩 & 벨트백 NBE001ECOBLACK,2,1148000.00,524000.000,624000.000,0.4564
13145279,136979,더베이스_P,ORCIANI,여행가방 & 더플백,ORCIANI 여행가방 & 더플백 NBE004ECOBLACK,2,1541000.00,710000.000,831000.000,0.4607
13151276,140453,더베이스_Q,OSÉREE,기타,오세리 원피스 & 드레스 LKF224VIOLET,2,439000.00,18000.000,421000.000,0.0410
13150216,63,더베이스,OTHER BRANDS,기타,MONOT 스커트 11FW21 BLACK,3,1505000.00,508000.000,997000.000,0.3375
13150214,63,더베이스,OTHER BRANDS,기타,MONOT 스커트 20RS22 BLACK,2,833000.00,276000.000,557000.000,0.3313
13145348,96815,더베이스,OTHER BRANDS,기타,언더웨어 FW22 CRAZB0 BLACK,1,1429000.00,799000.000,630000.000,0.5591
13164938,262713,더베이스_X,OTHER BRANDS,선글라스,Philó Eyewear 선글라스 QUINPVC,4,384000.00,69000.000,315000.000,0.1797
13164935,262713,더베이스_X,OTHER BRANDS,선글라스,Philó Eyewear 선글라스 QUINPVC,3,384000.00,69000.000,315000.000,0.1797
13150284,63,더베이스,OTHER BRANDS,자켓,BARBOUR BY BROMPTON 자켓 MQU1492 OL51,5,650000.00,224000.000,426000.000,0.3446
13152123,139812,더베이스_R,OTHER BRANDS,진,FARM 진 305380 C55,1,413000.00,179000.000,234000.000,0.4334
13150205,63,더베이스,OTHER BRANDS,진,DARKPARK 진 8DWQ006 F RO05036 MEW,1,791000.00,276000.000,515000.000,0.3489
13155426,63,더베이스,OTHER BRANDS,코트,MVP WARDROBE 코트 MVPI2CP142 0PN0031 0002,6,719000.00,249000.000,470000.000,0.3463
13152097,139812,더베이스_R,OTHER BRANDS,탑,RAMAEL 탑 RA0001005 500,1,923000.00,431000.000,492000.000,0.4670
13147926,88730,더베이스,OTHER BRANDS,탑,NOT AFTER TEN 탑 NTSSW2201881 NERO,1,283000.00,112000.000,171000.000,0.3958
13147786,333703,더베이스_AH,PAIGE,팬츠,페이지 팬츠 7338799 6498W6498,4,583000.00,129000.000,454000.000,0.2213
13150129,110017,더베이스_F,PALM ANGELS,기타,[키즈] 팜앤젤스 니트 & 스웻셔츠 PGBD002F22FLE0013201 0,5,483000.00,127000.000,356000.000,0.2629
13150120,110017,더베이스_F,PALM ANGELS,기타,[키즈] 팜앤젤스 바지 PGCJ003F22FLE0013201 0,5,439000.00,114000.000,325000.000,0.2597
13145263,136979,더베이스_P,PALM ANGELS,기타,팜앤젤스 점프수트 & 오버롤 PMFA011F22FAB0021025,4,594000.00,284000.000,310000.000,0.4781
13144202,262713,더베이스_X,PALM ANGELS,모자,팜앤젤스 모자 PMLB085F22FAB001,15,304000.00,53000.000,251000.000,0.1743
13145271,136979,더베이스_P,PALM ANGELS,부츠,팜앤젤스 부츠 PMIE006F22LEA0011700,4,2017000.00,356000.000,1661000.000,0.1765
13151789,140453,더베이스_Q,PALM ANGELS,셔츠 & 남방,팜앤젤스 셔츠 & 남방 PMGA110F22FAB0101025,3,709000.00,170000.000,539000.000,0.2398
13150213,63,더베이스,PALM ANGELS,스니커즈,팜앤젤스 스니커즈 PMIA078F22LEA001 0155,10,650000.00,269000.000,381000.000,0.4138
13150209,63,더베이스,PALM ANGELS,스니커즈,팜앤젤스 스니커즈 PMIA078F22LEA001 0110,20,650000.00,269000.000,381000.000,0.4138
13146738,63,더베이스,PALM ANGELS,스니커즈,팜앤젤스 스니커즈 PWIA049F22LEA001 0137,12,650000.00,252000.000,398000.000,0.3877
13145277,136979,더베이스_P,PALM ANGELS,자켓,팜앤젤스 자켓 PWEH010F22FAB0015610,1,3520000.00,1894000.000,1626000.000,0.5381
13145276,136979,더베이스_P,PALM ANGELS,자켓,팜앤젤스 자켓 PWEB009F22FAB0016110,2,1213000.00,603000.000,610000.000,0.4971
13145275,136979,더베이스_P,PALM ANGELS,자켓,팜앤젤스 자켓 PMEA110F22FAB0020910,2,2634000.00,1348000.000,1286000.000,0.5118
13152129,139812,더베이스_R,PALM ANGELS,캐주얼 바지,팜앤젤스 캐주얼 바지 PWCJ010F22FAB001 6001,1,895000.00,391000.000,504000.000,0.4369
13152118,139812,더베이스_R,PALM ANGELS,캐주얼 바지,팜앤젤스 캐주얼 바지 PWYA026F22DEN001 4025,1,1358000.00,604000.000,754000.000,0.4448
13152155,139812,더베이스_R,PALM ANGELS,티셔츠,팜앤젤스 티셔츠 PWAA017C99JER001 3460,1,517000.00,217000.000,300000.000,0.4197
13150134,110017,더베이스_F,PALM ANGELS,파카,[키즈] 팜앤젤스 파카 PBED002F22FAB0014601 0,4,771000.00,214000.000,557000.000,0.2776
13151721,140453,더베이스_Q,PALM ANGELS,팬츠,팜앤젤스 팬츠 PMCA081F22FAB0016110,2,805000.00,195000.000,610000.000,0.2422
13145285,136979,더베이스_P,PALM ANGELS,팬츠,팜앤젤스 팬츠 PMCA112F22FAB0011010,2,1203000.00,597000.000,606000.000,0.4963
13152150,139812,더베이스_R,PALM ANGELS,후드 & 스웻셔츠,팜앤젤스 후드 & 스웻셔츠 PWBA017F22FLE001 3260,1,1169000.00,517000.000,652000.000,0.4423
13151801,140453,더베이스_Q,PALM ANGELS,후드 & 스웻셔츠,팜앤젤스 후드 & 스웻셔츠 PWBE012F22FAB0011003,3,848000.00,208000.000,640000.000,0.2453
13150295,63,더베이스,PARAJUMPERS,자켓,파라점퍼스 자켓 PMHYBWU01 541,5,548000.00,248000.000,300000.000,0.4526
13150294,63,더베이스,PARAJUMPERS,후드 스웻셔츠,파라점퍼스 지퍼 포켓 스웨트셔츠 PMFLERE01 541,4,439000.00,196000.000,243000.000,0.4465
13145362,96815,더베이스,PAUL SMITH,다운 자켓,폴 스미스 다운 자켓 W2R224C J2140979,5,704000.00,351000.000,353000.000,0.4986
13145352,96815,더베이스,PAUL SMITH,다운 자켓,폴 스미스 다운 자켓 W2R224C J2140936,5,704000.00,351000.000,353000.000,0.4986
13146428,96815,더베이스,PAUL SMITH,코트,폴 스미스 코트 W2R225C J3094502,6,1235000.00,628000.000,607000.000,0.5085
13151329,140453,더베이스_Q,PEUTEREY,자켓,페트레이 자켓 PEU323501181371091VERDE,7,564000.00,41000.000,523000.000,0.0727
13150979,140453,더베이스_Q,PEUTEREY,자켓,페트레이 자켓 PEU323501181371091ARANCIO,6,564000.00,41000.000,523000.000,0.0727
13151882,140453,더베이스_Q,PHILIPP PLEIN,후드 & 스웻셔츠,필립 플레인 후드 & 스웻셔츠 S19CMJB0905PJO002N02,1,1602000.00,604000.000,998000.000,0.3770
13152064,113006,더베이스_H,PINKO,기타,핑코 원피스 & 드레스 1N13HM 4575ZZ1,1,1414000.00,477000.000,937000.000,0.3373
13151730,140453,더베이스_Q,PINKO,기타,핑코 벨트 1H212PY5H7O81Q,4,169000.00,17000.000,152000.000,0.1006
13145284,136979,더베이스_P,PINKO,니랭스 원피스/드레스,핑코 니랭스 원피스/드레스 1G18GDA07TZH2,3,880000.00,431000.000,449000.000,0.4898
13145811,136979,더베이스_P,PINKO,숄더백,핑코 숄더백 1P22WRA03TO78Q,4,385000.00,162000.000,223000.000,0.4208
13145808,136979,더베이스_P,PINKO,숄더백,핑코 숄더백 1P22WRA03TT54Q,4,385000.00,162000.000,223000.000,0.4208
13145807,136979,더베이스_P,PINKO,숄더백,핑코 숄더백 1P22WRA03TZ99Q,12,385000.00,162000.000,223000.000,0.4208
13145806,136979,더베이스_P,PINKO,숄더백,핑코 숄더백 1P22WRA03TA80Q,4,385000.00,162000.000,223000.000,0.4208
13145809,136979,더베이스_P,PINKO,크로스백,핑코 크로스백 1P22ZDA05FZ99Q,5,450000.00,193000.000,257000.000,0.4289
13145805,136979,더베이스_P,PINKO,크로스백,핑코 크로스백 1P22ZDA05FX67Q,3,450000.00,193000.000,257000.000,0.4289
13145274,136979,더베이스_P,PINKO,크로스백,핑코 크로스백 1P22QRA03TZ99Q,4,569000.00,249000.000,320000.000,0.4376
